스크립트 넘버,랜덤 이벤트 넘버,캐릭터 고유값,캐릭터의 대사,캐릭터의 감정,이름표 사용 여부,선택지 번호,스킵라인,시트설명,,,,,,,,,,,,,,,,,,
1198,118,Comsoon,"네? ‘치타는 웃고 있다’ 몰라요?
지금부터 뛰어도 따라잡을 수 없다구요!",sad,TRUE,18,,,,,,,,,,,,,,,,,,,,
1199,118,Comsoon,"맞아요, 아직 포기하기엔 너무 일러요…!
반이라도 풀 수 있도록…!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1200,118,Player,"다음 날, 컴순은 세 번째 문제에서 벽을 마주했다… 그래도 두 문제는 풀었음에 의의를 두자!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1201,118,Comsoon,"다음에는 미리미리 해 둬야겠어요…
이번 건 어쩔 수 없죠 뭐…",sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1202,118,Player,노력은 언제나 보답받는다. 공부하지 않은 컴순은 보답받지 못했다…,none,FALSE,,,,,,,,,,,,,,,,,,,,,
1203,119,Comsoon,교수님들 다 제정신이 아닌 것 같아요…!,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1204,119,Comsoon,모든 교수님들이 제가 자기 수업만 듣는 줄 아시나봐요!,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1205,119,Comsoon,"과제가 많냐구요?
그냥 많다 정도가 아니라요…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1206,119,Comsoon,"매일매일 새로운 과제가 쏟아져요!
이러다 사람 죽겠어요!",sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1207,119,Comsoon,저 좀 도와 주세요!,sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1208,119,Player,"컴순의 과제에 간단한 힌트를 주었다.
컴순은 힌트를 통해 과제를 해결하고 많은 걸 배운 것 같았다!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1209,120,Comsoon,"퀴즈 하나쯤… 말아먹어도 괜찮겠죠?
시험 잘 보면 어떻게든…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1210,120,Comsoon,내일 퀴즈를 본다고 해서 오늘 벼락치기하려고 했거든요.,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1211,120,Comsoon,그런데 친구가 급하게 알바 대타를 뛰어달라고 해서요…,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1212,120,Comsoon,"평소 같으면 거절하겠는데 이런 부탁 잘 하는 친구도 아니고, 너무 급해 보였어요…",sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1213,120,Comsoon,우정과 학점 사이에 뭐가 맞는 걸까요…?,sad,TRUE,20,,,,,,,,,,,,,,,,,,,,
1214,120,Comsoon,"그쵸? 역시 친구가 더 소중하죠?
좋아요! 밤이라도 새면 어떻게든 되겠죠!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1215,120,Player,"컴순은 우정을 지켜내고 학점까지 지켜냈다!
불가능한 일을 해낸 것만 같다…!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1216,120,Comsoon,"너, 너무 매정한 거 아니에요…?",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1217,120,Comsoon,"하지만 맞는 말 같기도 해요…
학교는 결국 공부하러 온 거니까…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1218,120,Player,"컴순은 당장의 학점을 택했다!
아아, 매정한 그대여…",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1219,121,Comsoon,하~~~암.,sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1220,121,Comsoon,"피곤해 보인다고요?
많이 티나요…? 헤헤…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1221,121,Comsoon,"사실 새로 나온 게임이 너무 재미있어서…
멈출 수가 없었어요…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1222,121,Comsoon,게임은 질병이 맞을지도 몰라요…!,basic,TRUE,21,,,,,,,,,,,,,,,,,,,,
1223,121,Comsoon,"알아요… 아는데 멈출 수가 없어요…!
그래도 오늘은 일찍 자야겠어요…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1224,121,Player,"컴순은 그 날 일찍 잠들었다고 한다.
언제나 건강이 우선이다!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1225,121,Comsoon,"에헤헤… 네!
마지막 보스 잡고 있는데, 오늘 밤에 엔딩 볼 것 같아요!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1226,121,Player,"컴순은 결국 그 날도 밤을 샜다고 한다.
그래도 엔딩 봤으니까 이제 일찍 자겠지!",none,FALSE,,,,,,,,,,,,,,,,,,,,,


































































































































































































































































































































































































































































































































































































































































































































































































